,strain_name,strain_desc,strain_type,strain_percent_indica,strain_percent_sativa,strain_thc_percent,strain_flavors,strain_effects
1367,Black Jesus,Black Jesus is a rare indica dominant hybrid strain (75% indica/25% sativa) created through crossing the classic,Indica Dominant Hybrid,75% Indica,25% Sativa,21.0,Earthy Citrus Sweet Sour Spicy Pepper Pungent,Body High Hungry Relaxing Tingly Uplifting Body High Hungry Relaxing Tingly Uplifting
1368,5 P'S,5 P's is a super rare evenly balanced hybrid strain (50% indica/50% sativa) created through crossing the classic,Hybrid,50% Indica,50% Sativa,24.0,Earthy Floral Spicy Hash Flowery Woody,Cerebral Euphoria Happy Uplifting Cerebral Euphoria Happy Uplifting
1369,Chocolate Haze,Chocolate Haze is a heavily sativa dominant hybrid strain (95% sativa/5% indica) created through a delicious cross of the potent,Sativa Dominant Hybrid,5% Indica,95% Sativa,25.0,Earthy Coffee Sweet Spicy Herbal Fruity Chocolate,Cerebral Creative Energizing Euphoria Giggly Uplifting Cerebral Creative Energizing Euphoria Giggly Uplifting
1370,The Widow,"The Widow is an indica dominant hybrid strain created as an even more hardcore version of the infamous White Widow, a cross of Brazilian and Southern Indian landraces. Like its parent, The Widow has an insanely gorgeous appearance with thick heavy conical nugs that are dark purple in color and completely coated from top to bottom in glittering bright white crystal trichomes. As you break apart each sticky little nug, rich aromas of skunky earth and pungent herbs are released. The flavor takes a spicy turn with delicious herbs and dank skunk. Almost as soon as you finish your last delicious exhale, the effects of The Widow sink in. You’ll feel a fast-hitting stoney effect that slams into your mind, immediately dropping you into an unfocused state of pure bliss. Soon after, you’ll be hit with a heavy body stone that drops you off into seemingly endless and euphoric couch-lock. With these insane effects and its crazy high 29% average THC level, The Widow is perfect for experienced patients suffering from conditions such as chronic pain, muscle spasms or inflammation, chronic fatigue, depression, and chronic stress. If you suffer from anxiety or paranoia in the slightest, avoid this strain – it can definitely amplify these effects.",Indica Dominant Hybrid,70% Indica,30% Sativa,29.0,Earthy Spicy Dank Herbal Skunky Pungent,Body High Sleepy Body High Sleepy
1371,Cruise 201,"Cruise 101 is a rare evenly balanced hybrid strain (50% indica/50% sativa) with unknown parents due to a high level of breeder secrecy regarding its heritage. Even with the lack of information about this bud’s parentage, Cruise 101 is highly sought after by patients and breeders alike for its potent high that makes you feel like you’re putting your body on cruise control and just letting yourself go for a ride. The high starts with a lifted calming effect that fills your mind with a sense of pure happiness and bliss. A light energy comes next, filling you with a get-up-and-move feeling that gets you off the couch. As your mind lifts and your body feels energized, you’ll feel a sense of relaxation wash over you, keeping you completely at ease. Thanks to these effects and its high 19-22% average THC level, Cruise 101 is often chosen to treat depression, chronic fatigue, chronic pain, and chronic stress or anxiety. This bud has a mellow sweet and spicy berry flavor wit ha light herbal exhale. The aroma is of earthy herbs and spices with a rich berry overtone that sweetens as the nugs are burned. Cruise 101 buds have dusty tapered grape-shaped nugs with pink undertones, bright orange hairs, and a coating of frosty thick white crystal trichomes.",Hybrid,50% Indica,50% Sativa,20.5,Earthy Sweet Spicy Fruity Herbal Berry,Calming Energizing Happy Relaxing Uplifting Calming Energizing Happy Relaxing Uplifting
1372,Blue Highzenberg,"Blue Highzenberg, not to be confused with “Heisenberg” or “Heisenberg OG,” is a super rare sativa dominant hybrid strain created through crossing the infamous",Sativa Dominant Hybrid,30% Indica,70% Sativa,28.0,Earthy Citrus Blueberry Diesel Chemical Spicy Fruity Herbal Berry,Creative Happy Motivation Relaxing Uplifting Creative Happy Motivation Relaxing Uplifting
1373,Buckeye Purple,Buckeye Purple is a rare indica dominant hybrid strain created through crossing the classic,Indica Dominant Hybrid,70% Indica,30% Sativa,17.5,Earthy Sweet Diesel Grape Floral Spicy Berry,Body High Euphoria Focus Happy Relaxing Sleepy Body High Euphoria Focus Happy Relaxing Sleepy
1374,Theraplant 14032,"Theraplant 14032 is a sativa dominant hybrid strain created through crossing the classic Purple Urkle and potent White Fire strains. With its potent 18-20% average THC level and long-lasting effects, Theraplant 14032 is a great choice for any sativa lover that appreciates a great flavor as well. Theraplant 14032 has a high that rushes in almost as soon as you exhale, infusing you with a sense of lifted happiness and focused creativity. While your mind soars through bright euphoria, your body will fade into a deep relaxing high that leaves you slightly couch-locked although not completely sedated. These effects and its high THC level give Theraplant 14032 an edge in treating conditions such as chronic pain, inflammation, insomnia, depression, and fibromyalgia. This bud has a sweet berry fruity flavor with hints of fresh sage and creamy grape on each savory exhale. The aroma is of fresh earthy pine with a hint of sage as the nugs are broken apart and burned. Theraplant 14032 buds have airy spade-shaped minty green nugs with thin orange hairs and a coating of tiny bright white crystal trichomes.",Sativa Dominant Hybrid,30% Indica,70% Sativa,19.0,Earthy Sweet Grape Spicy Fruity Creamy Herbal Berry Sage Pine,Creative Energizing Focus Happy Uplifting Creative Energizing Focus Happy Uplifting
1375,Theraplant 14001,Theraplant 14001 is an evenly balanced hybrid (50% indica/50% sativa) strain created through crossing the classic,Hybrid,50% Indica,50% Sativa,15.0,Earthy Citrus Sweet Candy Pineapple Tropical Berry Caramel Vanilla,Creative Euphoria Giggly Happy Long Lasting Sociable Creative Euphoria Giggly Happy Long Lasting Sociable
1376,T-4,"T-4 is a rare sativa dominant hybrid strain that is a four-times backcross of the infamous Trainwreck strain. This bud packs all of the potency of its parent strain but completely amplified thanks to its super high 20-30% average THC level. The high is nothing to be sneezed at either, with long lasting and full-bodied effects that leave you lifted for hours on end. The high hits you fast and hard with a slam of euphoric energy that launches you into a state of pure euphoria and creativity. As your mind reaches new heights, your body will begin to succumb to a mellow body high that creeps over you and leaves you very relaxed without any sedation to speak of. Thanks to these effects and its potent THC level, T-4 is often chosen to treat conditions such as chronic anxiety or stress, migraines or headaches, inflammation, depression, and chronic fatigue. This bud has a sweet lemony pine flavor accented by fresh herbs and spices. The aroma is very pungent and earthy with an herbal pine overtone accented by sharp lemons and citrus. T-4 buds have heavy round neon green nugs with long yellow-green hairs and a coating of chunky amber crystal trichomes.",Sativa Dominant Hybrid,30% Indica,70% Sativa,25.0,Earthy Sweet Pungent Herbal Lemon Pine Woody,Body High Energizing Euphoria Happy Uplifting Body High Energizing Euphoria Happy Uplifting
1377,Sour Lamb,Sour Lamb is a rare heavily sativa dominant hybrid strain created through crossing the classic,Sativa Dominant Hybrid,30% Indica,70% Sativa,20.0,Earthy Citrus Diesel Sour Spicy Pungent Woody,Creative Energizing Euphoria Focus Happy Motivation Creative Energizing Euphoria Focus Happy Motivation
1378,Sour Bubbleberry,"Sour Bubbleberry is a rare heavily sativa dominant hybrid strain created through crossing the delicious Bubbleberry with the potent Sour Diesel strain. With Sour Bubbleberry, you’d better be ready for a lip-puckering sour flavor! This bud has a sweet and insanely sour berry flavor that leaves your tongue tingling. The aroma takes a pungent turn, with hints of sour blueberry and skunky earth as the nugs are burned. The Sour Bubbleberry high is very energizing and focused in nature with heavy cerebral effects that can prove to be overwhelming to those users who suffer from anxiety or paranoia. You’ll feel an energizing onset a few minutes after your last toke, launching your mind into a state of pure euphoria with a heavy hit of focus and motivation. You’ll feel more and more creative as the high progresses, lending itself well to any artistic undertakings. Thanks to these long-lasting effects and its high 17% average THC level, Sour Bubbleberry is often chosen to treat conditions such as ADD or ADHD, chronic fatigue, depression, chronic stress, and nausea. This bud has spade-shaped bright neon green nugs with a bluish tint to them, bright orange hairs, and a coating of milky clear crystal trichomes.",Sativa Dominant Hybrid,30% Indica,70% Sativa,17.0,Citrus Sweet Diesel Sour Fruity Berry Skunky Pungent,Cerebral Creative Energizing Euphoria Focus Uplifting Cerebral Creative Energizing Euphoria Focus Uplifting
1379,TANGERINE POWER KUSH,"Tangerine Power Kush is a rare sativa dominant hybrid strain created through crossing the mouthwatering Tangerine Kush with the potent Power Kush. This bud packs both power and flavor into each and every toke, smashing into your mind and body with unforgiving potency thanks to its high 15-20% average THC level. The onset is unforgivingly fast, slamming into you with a rush of powerful euphoric energy that launches you into pure happiness. This effect will continue to build with almost no ceiling, which can cause anxiety or paranoia in some users. Thanks to these potent effects and its high THC level, Tangerine Power Kush is said to be perfect for treating conditions such as chronic pain, depression, chronic fatigue, headaches or migraines, and nausea. This bud has an insanely addictive sweet tangy orange flavor with a hint of skunk on each smooth exhale. The aroma is of fresh citrus and pine with an almost coffee-like earthy effect that’s released as the nugs are burned. Tangerine Power Kush buds have piecey minty green nugs with bright orange hairs and a coating of chunky amber crystal trichomes.",Sativa Dominant Hybrid,30% Indica,70% Sativa,17.5,Orange Coffee Earthy Citrus Sweet Pungent Herbal Skunky Pine Tangy,Creative Energizing Happy Uplifting Creative Energizing Happy Uplifting
1380,Strawberry Chemdawg,"Strawberry Chemdawg is a sativa dominant hybrid strain created through crossing the delicious Strawberry strain with the potent Chemdawg. If you’re looking for a uniquely fruity flavor, you’ve found it with this bud! Strawberry Chemdawg has a fresh fruity flavor that’s incredibly sweet on the inhale before getting a kick of sharp chemicals on the cough-inducing exhale. The aroma is just as unique, with a kick of strawberries and diesel accented by sharp chemicals and pungent earth as the nugs are burned. The Strawberry Chemdawg high has a happy and relaxing lift that fills you with a sense of euphoria a few minutes after your first toke. You’ll feel an influx of creativity accompanied by a calming effect that won’t weigh you down. Rather, you’ll feel completely at ease as your mind brightens through artistic visions and energy. In combination with its high 20-21% average THC level, these effects give Strawberry Chemdawg an edge in treating a variety of conditions including chronic stress, depression, chronic pain, nausea, and appetite loss. This bud has long tapered minty green spade-shaped nugs with lots of long thin orange hairs and a coating of tiny white crystal trichomes.",Sativa Dominant Hybrid,30% Indica,70% Sativa,20.5,Earthy Sweet Chemical Diesel Fruity Strawberry Berry,Creative Euphoria Happy Relaxing Uplifting Creative Euphoria Happy Relaxing Uplifting
1381,Tangie Jack,"Tangie Jack is a sativa dominant hybrid strain created through crossing the delicious Tangie and the potent Jack Herer strains. With its super potent 20% + average THC level and insanely delicious flavor, Tangie Jack will be dancing across your mind and your tongue long after your last toke. This bud has a sweet citrusy flavor with hints of fresh grassy pine on each exhale. The aroma is very earthy and woody with sweet lemony pine overtone that’s very grassy and herbal. The Tangie Jack high is perfect for a wake-and-bake, bringing both energy and motivation that will get you up and going in no time at all. You’ll feel these effects hit you almost as soon as you exhale, with a rushing lift of euphoria felt behind the eyes and in the back of the head. This effect will leave you feeling focused and creative, although you might get a little hazy at times and experience those annoying red eyes. In combination with its super high THC level, these effects make Tangie Jack perfect for treating a variety of conditions including chronic fatigue, migraines or headaches, depression, chronic stress, and nausea. This bud has conical forest green nugs with dusty furry dark amber hairs and a coating of milky amber crystal trichomes.",Sativa Dominant Hybrid,30% Indica,70% Sativa,20.0,Orange Earthy Citrus Sweet Lemon Pine Woody,Creative Energizing Euphoria Happy Uplifting Creative Energizing Euphoria Happy Uplifting
1382,sfc cookies,"SFC Cookies, also known as “SFV Cookies,” is an indica dominant hybrid strain created through crossing the infamous SFV OG Kush with the classic Girl Scout Cookies strain. With its delicious flavor and super potent effects, SFC Cookies is not for the faint of heart. SFC Cookies has a classic nutty cookie taste with a heavy hit of spicy citrus on each tangy exhale. The aroma is very sweet and skunky with a citrus pine overtone and a punch of nuttiness. The SFC Cookies high is definitely a creeper, sneaking up on you before slamming into your head with a lifted yet relaxed effect. This feeling will soon spread over the rest of your body, lulling you into a buzzy sedated state. This effect will quickly become stoney, leaving you heavy and couch-locked with no hope of movement any time soon. In combination with its super high 20% + average THC level, SFC Cookies is said to be perfect for treating conditions such as appetite loss, chronic pain, insomnia, and chronic pain or anxiety. This bud has small round olive green nugs with bright minty undertones, fiery orange hairs, and a coating of chunky amber crystal trichomes.",Indica Dominant Hybrid,70% Indica,30% Sativa,20.0,Earthy Citrus Sweet Spicy Skunky Pine Nutty,Body High Happy Hungry Relaxing Sleepy Body High Happy Hungry Relaxing Sleepy
1383,Strawberry Head Band,Strawberry Head Band is a rare slightly indica dominant hybrid (60% indica/40% sativa) strain created through crossing the classic,Indica Dominant Hybrid,60% Indica,40% Sativa,18.5,Earthy Sweet Diesel Fruity Berry Strawberry,Body High Relaxing Sleepy Uplifting Body High Relaxing Sleepy Uplifting
1384,Star Trek Super Kush,"Star Trek Super Kush is a rare indica dominant hybrid strain created through crossing the classic Romulan and OG Kush strains. With a super heavy THC level that hits anywhere between 29-30% on average and hard-hitting effects, you’ll soon know where this bud got its name! The high comes on fast and hard, smashing into your mind with dazing effects that leave you lifted and happy. As this effect grows, you’ll feel an increase in creativity that fills you with artistic visions and a sense of relaxation. A tingly body high comes next, washing over you and leaving you feeling slightly sedated, although not entirely sleepy. These effects in combination with its insanely high THC level give Star Trek Super Kush an edge in treating conditions such as insomnia, depression, chronic pain, muscle spasms, and chronic fatigue. Star Trek Super Kush has a fresh citrusy pine flavor with a spicy woody exhale that tingles with each toke. The aroma is very earthy with a pungent lemon overtone accented by fresh pine and florals. Star Trek Super Kush buds have fluffy popcorn-shaped minty green nugs with fuzzy orange hairs and a coating of dusty amber crystal trichomes.",Indica Dominant Hybrid,70% Indica,30% Sativa,29.5,Earthy Citrus Pungent Spicy Lemon Pine Woody,Creative Euphoria Happy Relaxing Uplifting Creative Euphoria Happy Relaxing Uplifting
1385,Stormtrooper OG,"Stormtrooper OG is an indica dominant hybrid strain created through crossing the infamous Stormtrooper with the classic OG Kush strain. This bud packs a cough-inducing flavor into each savory hit, which distracts you exactly long enough to not notice the creeping effects kick in. The Stormtrooper OG high sneaks up on you before suddenly taking hold, launching you into a cerebrally lifted state almost immediately. You’ll feel a relaxing body high start to wash over you next, lulling you into a sleepy and ravenously hungry state that leaves you reaching for anything and everything snackable within reach. Paired with its moderate 12-19% average THC level, these effects make Stormtrooper OG the perfect bud for treating conditions such as appetite loss or nausea, chronic stress or anxiety, depression, and chronic pain. Stormtrooper OG has a sweet lemony diesel flavor with a pungent herbal exhale. The aroma is very pungent with a diesel overtone accented by lemony pine and hash as the nugs are burned. This bud has dense and leafy bright neon green nugs with dark amber hairs and a coating of bright frosty white crystal trichomes.",Indica Dominant Hybrid,70% Indica,30% Sativa,15.5,Fuel Sweet Diesel Hash Herbal Lemon Pine,Body High Cerebral Hungry Relaxing Uplifting Body High Cerebral Hungry Relaxing Uplifting
1386,Wolverine Kush,"Wolverine Kush is an indica dominant hybrid strain of unknown parentage due to a high level of breeder secrecy. This powerhouse bud packs heavy body effects and a super long-lasting high thanks to its potent 19-20% average THC level. The Wolverine Kush high as a cerebral onset with a slight lift of energy and a boost in happiness. Even with this mental lift, you will remain relaxed and at ease with no negative effects whatsoever. As your mind brightens, your body will start to fade into a relaxing body high that leaves you feeling completely at ease and with a pretty hefty case of the munchies. These heavy effects give Wolverine Kush an edge in treating a variety of conditions including appetite loss, depression, insomnia, chronic pain, and migraines or headaches. Wolverine Kush has a mocha coffee flavor with a notable kick of skunky grape on each exhale. The aroma is very dank and pungent with a spicy chemical overtone that can fill a room with its heavy stench. Wolverine Kush buds have long fluffy pepper-shaped forest green nugs with lots of thin orange hairs and a coating of tiny amber crystal trichomes.",Indica Dominant Hybrid,70% Indica,30% Sativa,19.5,Coffee Chemical Grape Spicy Dank Herbal Skunky Pungent Chocolate,Body High Happy Hungry Relaxing Body High Happy Hungry Relaxing
1387,Silver n Gold,"Silver N Gold, also known as “Silver and Gold,” is a rare heavily sativa dominant hybrid (90% sativa/10% indica) strain created through a potent three-way cross of",Sativa Dominant Hybrid,10% Indica,90% Sativa,26.0,Citrus Sweet Diesel Floral Sour Herbal Pine Woody,Cerebral Energizing Focus Long Lasting Cerebral Energizing Focus Long Lasting
1388,Purple Star Trek,"Purple Star Trek is a rare indica dominant hybrid strain created through crossing the classic Romulan and Purple Star strains. With its moderate 10-15% average THC level and relaxing effects, this bud is perfect for any fan of Star Trek and who loves a great indica. The Purple Star Trek high comes on with a slight lift at the onset, filling your mind with happy thoughts that are pretty unfocused at times. This will leave you feeling mentally pain-free and completely relaxed, an effect that will quickly spread throughout the rest of your body with slightly tingly waves. Soon you’ll begin to feel slightly hungry and a little bit sleepy as your foggy head starts to weigh you down even more. Thanks to these effects and its moderate THC level, Purple Star Trek is said to be perfect for treating conditions such as arthritis, chronic pain, inflammation, muscle spasms, depression, and chronic stress. This bud has a sweet and spicy woody grape flavor with hints of citrus on each exhale. The aroma is very citrusy and earthy with a touch of pungency as the nugs are burned. Purple Star Trek bud shave piecey round grape-shaped dusty green nugs with furry amber hairs and a coating of chunky crystal trichomes.",Indica Dominant Hybrid,70% Indica,30% Sativa,12.5,Earthy Citrus Sweet Pungent Grape Spicy Berry Pine Woody,Hungry Relaxing Sleepy Sociable Uplifting Hungry Relaxing Sleepy Sociable Uplifting
1389,Red Ribbon OG,"Red Ribbon OG is a rare indica dominant hybrid strain created through crossing the classic ACDC and rare Frisco OG. This bud packs highly medicinal effects with a touch of classic effects thanks to its high 4-6% average CBD level and mild 10% THC level. The Red Ribbon OG high has a subtle lift at the onset that fills your mind with a sense of deep happiness and wipes away any mental aches and pains. As you become more and more euphoric, your body will begin to relax with a buzzy body high. This physical effect won’t be too sedative, but can leave you slightly sleepy and unfocused at times thanks to its pain-relieving qualities. These mellow effects and its high CBD level give Red Ribbon OG an edge in treating conditions such as chronic pain, insomnia, muscle spasms, arthritis, depression, and loss of appetite. This bud has a sweet and spicy citrus herbal flavor with a woody exhale. The aroma is very fresh with an herbal lemon overtone accented by spicy earth and kush. Red Ribbon OG buds have fluffy round grape-shaped nugs with bright orange hairs and a coating of chunky amber crystal trichomes.",Indica Dominant Hybrid,70% Indica,30% Sativa,13.5,Earthy Citrus Herbal Lemon Pine Woody,Body High Euphoria Happy Relaxing Sleepy Uplifting Body High Euphoria Happy Relaxing Sleepy Uplifting
1390,Theraplant 14005,"Theraplant 14005 is a rare indica dominant hybrid strain created through an unknown combination of parent strains, although it is thought to be a descendant of Des*Tar, a guess that has never been confirmed. Even with the lack of information about its heritage, Theraplant 14005 is highly sought after for its delicious flavor and relaxing effects. Theraplant 14005 has a sweet and spicy lemony pine flavor with a hit of earthiness on each smooth exhale. The aroma is very earthy and spicy with a woody herbal overtone accented by fresh lemon zest. The Theraplant 14005 high is very relaxing and sleepy, making it the perfect choice for a later afternoon smoke when you want to kick back and relax. You’ll feel a subtle lift at the onset that’s accompanied by a sense of hazy happiness. A deep permeating sense of relaxation will wash over you next, lulling you into a heavy body high that often ends in a deep and peaceful sleep. In combination with its high 19-20% average THC level, these effects make Theraplant 14005 perfect for treating conditions such as insomnia, chronic pain, muscle spasms, and chronic stress. This bud has heart-shaped minty green nugs with long orange hairs and a spattering of chunky amber colored crystal trichomes.",Indica Dominant Hybrid,70% Indica,30% Sativa,19.5,Earthy Citrus Spicy Herbal Lemon Pine Woody,Body High Happy Relaxing Sleepy Uplifting Body High Happy Relaxing Sleepy Uplifting
1391,Vietnam Haze,Vietnam Haze is a rare sativa dominant hybrid strain created through crossing the delicious,Sativa Dominant Hybrid,30% Indica,70% Sativa,,Earthy Sweet Spicy Herbal Flowery Pine Chocolate,Cerebral Creative Focus Happy Relaxing Uplifting Cerebral Creative Focus Happy Relaxing Uplifting
1392,Theraplant 14004,"Theraplant 14004 is a rare slightly sativa dominant hybrid strain created as a variety of Caramel Candy Kush, a cross of Pre-98 Bubba Kush and Ms. Universe. This bud is hard to find on your average market, but you’ll be begging for it endlessly after just one taste of its addictive flavor. Theraplant 14004 has a taste of sweet buttery and creamy caramel with a delicious apple flavored exhale. The aroma is very fresh with a caramel coffee effect that’s accented by sweet earth. The Theraplant 14004 high is just as addictive as its flavor, with eye-opening and energizing effects that are perfect as a tasty wake-and-bake. The eases you in, with a building sense of euphoric energy and a touch of focus that washes through your mind and body. As this effect expands, it will settle in your mind, leaving your body to drop off into a state of pure relaxation. In combination with its potent 19-20% average THC level, Theraplant 14004 is said to be perfect for treating conditions such as chronic fatigue, depression, migraines or headaches, Bipolar Disorder, and inflammation. This bud has fluffy piecey dark olive green nugs with beautiful blue green leaves, long amber hairs, and a coating of chunky clear crystal trichomes.",Sativa Dominant Hybrid,30% Indica,70% Sativa,19.5,Earthy Coffee Sweet Apple Buttery Creamy Caramel,Energizing Focus Happy Relaxing Uplifting Energizing Focus Happy Relaxing Uplifting
1393,Ultra Grapes,"Ultra Grapes, also known as “Grape Ultra,” is a sativa dominant hybrid (75% sativa/25% indica) strain created through crossing the classic Grape Funk X",Sativa Dominant Hybrid,25% Indica,75% Sativa,16.5,Earthy Citrus Sweet Diesel Candy Grape Sour Spicy,Energizing Focus Happy Uplifting Energizing Focus Happy Uplifting
1394,Theraplant 14003,"Theraplant 14003, also known as “Des*Tar,” is a rare evenly balanced hybrid (50% indica/50% sativa) strain created through crossing the classic",Hybrid,50% Indica,50% Sativa,19.5,Earthy Sweet Candy Pineapple Spicy Fruity Herbal Caramel,Body High Cerebral Energizing Happy Uplifting Body High Cerebral Energizing Happy Uplifting
1395,Purple Elvis,Purple Elvis is a rare sativa dominant hybrid strain created through crossing the infamous,Sativa Dominant Hybrid,30% Indica,70% Sativa,17.5,Grape Menthol Herbal Berry Skunky Pungent Woody,Cerebral Creative Energizing Focus Happy Sociable Uplifting Cerebral Creative Energizing Focus Happy Sociable Uplifting
1396,Suger Town Express,"Suger Town Express, also known more commonly as “Sugar Town Express,” is a rare evenly balanced hybrid (50% indica/50% sativa) strain created through crossing the classic Purple Trainwreck and the rare Joseph OG strains. With its mild 12-14% average THC Level and insanely sweet flavor, you’ll want to take a ride on the Suger Town Express again and again! The Suger Town Express high hits you fast, only a few seconds after your first exhale, with a rush of cerebral effects that infuse you with a building sense of euphoria and energy. As your mind lifts, your body will start to fall into a slightly tingly state that ends in a relaxing (and pretty arousing) body high. This state won’t leave you sleepy or sedated, rather mentally stimulated and physically calm. Thanks to these effects and its moderate THC level, Suger Town Express is often chosen to treat conditions including chronic anxiety or stress, migraines or headaches, depression, and chronic fatigue. This bud has fluffy rounded minty green nugs with long sparse orange hairs and a coating of frosty medium-sized white crystal trichomes.",Hybrid,50% Indica,50% Sativa,13.0,Earthy Sweet Grape Floral Spicy Herbal,Body High Cerebral Energizing Happy Relaxing Uplifting Body High Cerebral Energizing Happy Relaxing Uplifting
1397,Theraplant 14006,"Theraplant 14006 is a rare evenly balanced hybrid (50% indica/50% sativa) strain created through crossing the delicious Tangerine Haze with the infamous Tahoe Alien strain. This tasty bud brings on the eye-opening flavors, with a sharp taste of tangerine and a fresh sweet pine exhale. The aroma is just as delicious, with an earthy citrus overtone accented by spicy tangerine zest. Theraplant 14006 has fluffy dense small minty green nugs with sparse amber hairs and a coating of tiny sandy amber crystal trichomes. The Theraplant 14006 high is very relaxing and lifting in nature, with full-bodied effects. You’ll feel a euphoric onset a few minutes after your first few hits, infusing you with a sense of focused energy and creativity. As your mind soars through happy artistic visions, your body will drop into a state of relaxation that’s slightly sedative at times, especially if you toke a little too much at once. Thanks to its super potent 24-25% average THC level and these potent effects, Theraplant 14006 is said to be perfect for treating conditions such as migraines or headaches, chronic pain, muscle spasms, chronic fatigue, depression, and chronic stress.",Hybrid,50% Indica,50% Sativa,24.5,Orange Earthy Citrus Sweet Sour Spicy Pine,Creative Energizing Focus Happy Uplifting Creative Energizing Focus Happy Uplifting
1398,Amnesia Mystery,"Amnesia Mystery, also known as “Amnesia Mistery,” is a rare sativa-dominant hybrid strain (80% sativa/20% indica) created through crossing the classic",Sativa Dominant Hybrid,20% Indica,80% Sativa,28.0,Citrus Floral Menthol Spicy Herbal Pine,Cerebral Energizing Euphoria Motivation Uplifting Cerebral Energizing Euphoria Motivation Uplifting
1399,The Itis,"The Itis is a super rare heavily indica dominant hybrid strain (90% indica/10% sativa) created through an unknown combination of heavy indica strains. Named for that super relaxing feeling that you get after eating a huge meal, The Itis is the perfect bud for a lazy night in when you just want to kick back and relax. The high starts with a subtle lifted effect that fills the back of your head with a light tingle before spreading throughout the rest of your body with a deeply relaxing effect that leaves you warmed and totally at ease. You’ll soon become couch-locked and physically stoned, unable to move or do much of anything for hours on end. This can quickly become sleepy, causing you to drift off into a deep and peaceful sleep. In combination with its high 22-24% average THC level, these effects give The Itis an edge in treating conditions such as chronic pain, depression, chronic stress or anxiety, and chronic fatigue. This bud has a classic spicy herbal flavor with a lightly flowery exhale. The aroma is of earthy florals and fresh spicy herbs with a pungent effect that intensifies with each toke. The Itis buds have long narrow pepper-shaped forest green nugs with bright orange hairs and a coating of frosty rich amber crystal trichomes.",Indica Dominant Hybrid,90% Indica,10% Sativa,23.0,Earthy Spicy Herbal Flowery Pungent Woody,Body High Relaxing Sleepy Uplifting Body High Relaxing Sleepy Uplifting
1400,WiFi Afghani,"WiFi Afghani is an indica dominant hybrid (70% indica/30% sativa) strain created through crossing the powerful White Fire OG with the classic Afghani. This potent bud brings on the heavy-hitting effects with a THC level that tops 20% on average and long-lasting effects that will leave you dazed for hours on end. The onset is very heady with a hazy euphoric boost that leaves you feeling insanely happy and unfocused. As your mind lifts through creative visions, your body will begin to fade into a numbing body high that leaves you completely relaxed and slightly sedated. A sharp pang of hunger comes next, leaving you reaching for anything and everything that’s snackable. These effects give WiFi Afghani an edge in treating a variety of conditions including insomnia, depression, chronic pain, muscle spasms, and loss of appetite or anorexia. This bud has a lemony herbal flavor with a spicy exhale that’s very savory. The aroma is very flowery and earthy with a spicy fuel overtone that’s very pungent. WiFi Afghani buds have spade-shaped olive green nugs with rich purple undertones, dark amber hairs, and a coating of frosty tiny bright white crystal trichomes.",Indica Dominant Hybrid,70% Indica,30% Sativa,20.0,Earthy Fuel Sweet Floral Spicy Herbal Lemon Flowery,Body High Cerebral Hungry Relaxing Uplifting Body High Cerebral Hungry Relaxing Uplifting
1401,Theraplant 15028,Theraplant 15028 is a rare indica dominant hybrid strain created through crossing the equally as rare,Indica Dominant Hybrid,70% Indica,30% Sativa,24.5,Earthy Sweet Peppery Spicy Herbal Fruity Skunky Pepper,Euphoria Happy Relaxing Uplifting Euphoria Happy Relaxing Uplifting
1402,White Super Skunk,"White Super Skunk is a rare indica dominant hybrid strain (75% indica/25% sativa) created as a phenotype of the classic Super Skunk strain. If you’re a fan of Super Skunk, you’re definitely going to be head over heels for this pumped-up iteration. White Super Skunk gets its name from its super frosty appearance, with oversized spade-shaped elongated dark olive green nugs that are completely coated in super frosty white crystal trichomes. Each little nug is dotted with rich purple undertones and dark amber hairs, which perfectly complement the sparkling white blanket. As you pull apart each sticky little nugget, super pungent aromas of dank diesel and spicy skunk are released. The flavor follows the same effect, with a touch of herbs and earth to it, too. The White Super Skunk high is just as amazing as its parent strain, with long-lasting effects that hit both mind and body with a high level of potency. You’ll feel totally lifted with a cerebral tingle and a deep physical relaxation that fills every part of you with pure calm and ease. Thanks to these effects and its high 20-26% average THC level, White Super Skunk is often chosen to treat those suffering from conditions such as chronic pain, migraines or headaches, chronic stress, depression, and cramps or muscle spasms.",Indica Dominant Hybrid,75% Indica,25% Sativa,23.0,Earthy Diesel Sour Spicy Dank Herbal Skunky Pungent,Body High Cerebral Euphoria Relaxing Uplifting Body High Cerebral Euphoria Relaxing Uplifting
1403,Remo Chemo,"Remo Chemo is a rare slightly indica dominant hybrid strain (65% indica/35% sativa) bred as a backcross of itself, a",Indica Dominant Hybrid,65% Indica,35% Sativa,24.0,Peppery Diesel Spicy Herbal Skunky Pepper Pungent Woody,Creative Euphoria Giggly Hungry Sociable Uplifting Creative Euphoria Giggly Hungry Sociable Uplifting
